=== Текст запроса ===

-- ============================================================
-- Запрос 4: Накопленная сумма продаж по каждой аптеке
-- ============================================================
-- Используемые конструкции: оконная функция SUM() OVER (PARTITION BY ... ORDER BY ...)
-- Логика: для каждой строки заказа показываем аптеку, дату, сумму заказа
-- и накопленную сумму продаж внутри этой аптеки по дате (ORDER BY report_date).
-- ============================================================

SELECT 
    pharmacy_name AS аптека,
    report_date AS дата,
    (price * count) AS сумма_заказа_руб,
    SUM(price * count) OVER (
        PARTITION BY pharmacy_name 
        ORDER BY report_date, order_id
    ) AS накопленная_сумма_руб
FROM pharma_orders
ORDER BY pharmacy_name, report_date, order_id;

=== Результат ===

аптека          дата        сумма_заказа_руб  накопленная_сумма_руб
-------------------------------------------------------------------
Cтоличная       2024-02-01               396                    396
Cтоличная       2024-02-01              2152                   2548
Cтоличная       2024-02-01              2250                   4798
Cтоличная       2024-02-01              3420                   8218
Cтоличная       2024-02-02              1774                   9992
Cтоличная       2024-02-02              2825                  12817
Cтоличная       2024-02-02              1350                  14167
Cтоличная       2024-02-02              2565                  16732
Cтоличная       2024-02-02              2548                  19280
Cтоличная       2024-02-02               900                  20180
Cтоличная       2024-02-02              2295                  22475
Cтоличная       2024-02-02              1835                  24310
Cтоличная       2024-02-03               525                  24835
Cтоличная       2024-02-03              1350                  26185
Cтоличная       2024-02-03               450                  26635
Cтоличная       2024-02-03              2472                  29107
Cтоличная       2024-02-03              1555                  30662
Cтоличная       2024-02-03               808                  31470
Cтоличная       2024-02-04              4960                  36430
Cтоличная       2024-02-04              1556                  37986
Cтоличная       2024-02-04              1652                  39638
Cтоличная       2024-02-04              4680                  44318
Cтоличная       2024-02-04               651                  44969
Cтоличная       2024-02-04               693                  45662
Cтоличная       2024-02-04              1350                  47012
Cтоличная       2024-02-05              4685                  51697
Cтоличная       2024-02-05              1041                  52738
Cтоличная       2024-02-05              2697                  55435
Cтоличная       2024-02-05              2628                  58063
Cтоличная       2024-02-05              1650                  59713
Cтоличная       2024-02-05               411                  60124
Cтоличная       2024-02-05              2250                  62374
Cтоличная       2024-02-05              2736                  65110
Cтоличная       2024-02-06               891                  66001
Cтоличная       2024-02-06               472                  66473
Cтоличная       2024-02-06               450                  66923
Cтоличная       2024-02-06              3844                  70767
Cтоличная       2024-02-06               900                  71667
Cтоличная       2024-02-06               425                  72092
Cтоличная       2024-02-07               453                  72545
Cтоличная       2024-02-07              1702                  74247
Cтоличная       2024-02-07              1107                  75354
Cтоличная       2024-02-07              3200                  78554
Cтоличная       2024-02-07               415                  78969
Cтоличная       2024-02-07              2262                  81231
Cтоличная       2024-02-07              2920                  84151
Cтоличная       2024-02-08               797                  84948
Cтоличная       2024-02-08              2022                  86970
Cтоличная       2024-02-08              1058                  88028
Cтоличная       2024-02-08              3835                  91863
Cтоличная       2024-02-08               445                  92308
Cтоличная       2024-02-08              3870                  96178
Cтоличная       2024-02-09               382                  96560
Cтоличная       2024-02-09               659                  97219
Cтоличная       2024-02-09              2060                  99279
Cтоличная       2024-02-09              4225                 103504
Cтоличная       2024-02-09              3928                 107432
Cтоличная       2024-02-09               726                 108158
Cтоличная       2024-02-09              2958                 111116
Cтоличная       2024-02-10              1824                 112940
Cтоличная       2024-02-10              2052                 114992
Cтоличная       2024-02-10              3515                 118507
Cтоличная       2024-02-10              1220                 119727
Cтоличная       2024-02-10              2583                 122310
Cтоличная       2024-02-10              1194                 123504
Cтоличная       2024-02-10              2725                 126229
Cтоличная       2024-02-11               391                 126620
Cтоличная       2024-02-11              2250                 128870
Cтоличная       2024-02-11               450                 129320
Cтоличная       2024-02-11               990                 130310
Cтоличная       2024-02-11              1800                 132110
Cтоличная       2024-02-12               320                 132430
Cтоличная       2024-02-12              1472                 133902
Cтоличная       2024-02-12              1311                 135213
Cтоличная       2024-02-12              2175                 137388
Cтоличная       2024-02-12              4865                 142253
Cтоличная       2024-02-12              3030                 145283
Cтоличная       2024-02-12              2994                 148277
Cтоличная       2024-02-12              1470                 149747
Cтоличная       2024-02-12              2325                 152072
Cтоличная       2024-02-13               841                 152913
Cтоличная       2024-02-13              4125                 157038
Cтоличная       2024-02-13               900                 157938
Cтоличная       2024-02-13              2884                 160822
Cтоличная       2024-02-13               564                 161386
Cтоличная       2024-02-13               862                 162248
